2024-12-10 02:36:20,996 nioEventLoopGroup-7-1  INFO [cn.wjc.server.msg.impl.MsgProcessingImpl:recAentryReq:235] - 127.0.0.1:5002: FOLLOWER提交日志
2024-12-10 02:36:21,009 nioEventLoopGroup-5-1  INFO [cn.wjc.server.msg.impl.MsgProcessingImpl:recAentryReq:235] - 127.0.0.1:5001: FOLLOWER提交日志
2024-12-10 02:36:21,031 nioEventLoopGroup-7-4  INFO [cn.wjc.server.msg.impl.MsgProcessingImpl:recCommandReq:468] - 节点不是LEADER, LEADER地址为：127.0.0.1:5000
2024-12-10 02:36:21,033 nioEventLoopGroup-25-1  WARN [cn.wjc.server.msg.impl.MsgProcessingImpl:recCommandRes:415] - 请求发送失败,应该发往:127.0.0.1:5000
2024-12-10 02:36:21,036 nioEventLoopGroup-3-4  INFO [cn.wjc.server.msg.impl.MsgProcessingImpl:recCommandReq:445] - 节点:127.0.0.1:5000  接收到指令:UPDATE 127.0.0.1:5004
2024-12-10 02:36:21,037 nioEventLoopGroup-3-4  INFO [cn.wjc.server.msg.impl.MsgProcessingImpl:recCommandReq:502] - 节点127.0.0.1:5000,接收到同步日志指令,当前节点commitindex：11
2024-12-10 02:36:21,038 nioEventLoopGroup-3-4  INFO [cn.wjc.server.model.impl.NodeDefaultImpl:sendUpdateLog:164] - 节点127.0.0.1:5000,!!接收到同步日志指令,当前节点commitindex：11
2024-12-10 02:36:21,046 nioEventLoopGroup-3-4  INFO [cn.wjc.server.action.AppendAentryAction:run:25] - 127.0.0.1:5000:进行一次同步检查PeerSet(list=[Peer(addr=127.0.0.1:5003), Peer(addr=127.0.0.1:5002), Peer(addr=127.0.0.1:5001), Peer(addr=127.0.0.1:5000)], cOldNewList=[], leader=null, self=Peer(addr=127.0.0.1:5000)),4
2024-12-10 02:36:21,046 nioEventLoopGroup-3-4  INFO [cn.wjc.server.model.impl.NodeDefaultImpl:sendUpdateLog:164] - 节点127.0.0.1:5000,!!接收到同步日志指令,当前节点commitindex：11
2024-12-10 02:36:21,054 nioEventLoopGroup-3-4  INFO [cn.wjc.server.model.impl.NodeDefaultImpl:sendUpdateLog:164] - 节点127.0.0.1:5000,!!接收到同步日志指令,当前节点commitindex：11
